pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,anticipatoryResponse,responseTimeIncorrect,trialIncorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0587897194782,0.547283467837,[-0.8015625  -0.12222222],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.054811464739,0.46566832182,[ 0.2984375  -0.05277778],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0538867472205,0.516511788126,[-0.2515625  -0.00833333],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0555618234212,0.655938602635,[ 0.765625    0.06388889],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.0574161815457,0.600335343508,[ 0.753125    0.13055556],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0506293126382,0.473704420961,[-0.2734375   0.03333333],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0649361785036,0.609842621605,[ 0.275      -0.01388889],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,4,0.0571400790941,0.719424525276,[ 0.7421875   0.11388889],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0574826430529,0.548956902931,[-0.68125    -0.04722222],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,0.057480591815,0.579045916209,[ 0.2953125  -0.14166667],,,,,,,,,,,,2018_Jul_08_1221,60.3423980887,sequenceLearningTask,001,160,
