randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,0,0,0,0,,,,,,,,,1,['1'],0,[0.43552184104919434],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,0,1,1,2,,,,,,,,,1,['3'],0,[0.22603201866149902],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,0,2,2,3,,,,,,,,,1,['4'],0,[0.32537007331848145],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,0,3,3,1,,,,,,,,,1,['2'],0,[0.4191319942474365],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,1,0,4,3,,,,,,,,,1,['4'],0,[0.5520389080047607],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,1,1,5,2,,,,,,,,,0,"['1', '3']",0,"[24.937169075012207, 24.9863121509552]",2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,1,2,6,1,,,,,,,,,0,"['2', '4', '2']",0,"[0.0002770423889160156, 0.43874382972717285]",2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,1,3,7,0,,,,,,,,,1,['1'],0,[0.3528130054473877],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,2,0,8,1,,,,,,,,,1,['2'],0,[0.36931395530700684],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,2,1,9,0,,,,,,,,,1,['1'],0,[0.41961097717285156],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,2,2,10,2,,,,,,,,,1,['3'],0,[0.23432588577270508],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,2,3,11,3,,,,,,,,,1,['4'],0,[0.3004319667816162],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,3,0,12,2,,,,,,,,,0,"['2', '3']",0,"[0.16844511032104492, 0.48571300506591797]",2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,3,1,13,1,,,,,,,,,1,['2'],0,[0.41060400009155273],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,3,2,14,0,,,,,,,,,1,['1'],0,[0.30198192596435547],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,3,3,15,3,,,,,,,,,1,['4'],0,[0.31967997550964355],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,4,0,16,3,,,,,,,,,1,['4'],0,[0.3527870178222656],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,4,1,17,0,,,,,,,,,1,['1'],0,[0.4039299488067627],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,4,2,18,1,,,,,,,,,1,['2'],0,[0.3861689567565918],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,4,3,19,2,,,,,,,,,1,['3'],0,[0.23585891723632812],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,5,0,20,1,,,,,,,,,1,['2'],0,[0.28244709968566895],2018_Feb_20_1414,60.1380465298,sequenceLearningTask,001,999,
