pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,1,1,1,,,,,['num_1'],2,0.0529057811946,0,"['num_4', 'num_1']",0,"[0.5088383480906487, 1.874974923208356]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,1,1,1,,,,,['num_0'],2,0.0560819823295,1,['num_0'],0,[3.771564999129623],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,2,2,2,,,,,['num_7'],3,0.0591749013402,1,['num_7'],0,[2.7167687588371336],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,2,2,2,,,,,['num_1'],3,0.0555273164064,0,"['num_4', 'num_1']",0,"[6.855591972824186, 7.304749573580921]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,2,2,2,,,,,['num_4'],3,0.0631908969954,1,['num_4'],0,[2.1620994927361608],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,['num_0'],3,0.0606657718308,1,['num_0'],0,[2.06586125260219],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,['num_0'],3,0.0573221859522,1,['num_0'],0,[1.5353478542529047],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,2,2,2,,,,,['num_4'],3,0.0487113245763,1,['num_4'],0,[1.8622635542415082],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,2,2,2,,,,,['num_1'],3,0.0635794089176,1,['num_1'],0,[2.8638721676543355],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,['num_0'],3,0.0505861942656,1,['num_0'],0,[1.1106952484697104],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,3,3,3,,,,,['num_7'],4,0.0556356236339,1,['num_7'],0,[1.8042755229398608],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,3,3,3,,,,,['num_1'],4,0.0537989083678,1,['num_1'],0,[2.2575246058404446],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,3,3,3,,,,,['num_4'],4,0.055439111311,0,"['num_1', 'num_4']",0,"[0.0006949738599359989, 1.9716065991669893]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,3,3,3,,,,,['num_0'],4,0.0359199559316,1,['num_0'],0,[0.8931459775194526],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,3,3,3,,,,,['num_0'],4,0.0541849588044,1,['num_0'],0,[1.3238293449394405],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,3,3,3,,,,,['num_4'],4,0.0560118285939,1,['num_4'],0,[2.4052733471617103],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,3,3,3,,,,,['num_1'],4,0.0478924536146,1,['num_1'],0,[1.6798908556811512],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,3,3,3,,,,,['num_0'],4,0.0549435224384,1,['num_0'],0,[3.522083870600909],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,4,4,4,,,,,['num_7'],5,0.0475896848366,1,['num_7'],0,[1.6123249898664653],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,4,4,4,,,,,['num_1'],5,0.0565221868455,1,['num_1'],0,[3.871131235267967],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,4,4,4,,,,,['num_4'],5,0.0544052664191,0,"['num_0', 'num_0', 'num_7', 'num_4']",0,"[1.9900143714621663, 5.739284423645586, 7.2556333262473345, 8.323112627957016]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,4,4,4,,,,,['num_0'],5,0.0592770548537,1,['num_0'],0,[2.250438255723566],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,4,4,4,,,,,['num_0'],5,0.0537061905488,0,"['num_1', 'num_0']",0,"[1.124156154692173, 1.7412319080904126]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,4,4,4,,,,,['num_4'],5,0.0529455756769,0,"['num_1', 'num_4']",0,"[0.9069752939976752, 2.5568702891469]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
