pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,correctKey,repetitionNumber,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
,,,,,0,-1,-1,0,,,,,,,,,,,,,['1'],,,,,,,,,,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
,,,,,0,-1,-1,0,,,,,,,,,,,,,['1'],,,,,,,,,,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
,,,,,0,-1,-1,0,,,,,,,,,,,,,['1'],,,,,,,,,,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
,,,,,0,-1,-1,0,,,,,,,,,,,,,['2'],,,,,,,,,,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
,,,,,0,-1,-1,0,0,0,0,0,,,,,,,,,,return,3.66994160818,none,"[2.206183469203097, 2.3902832370367832, 2.573502184000972, 2.9565435719159723]",,,,,,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['3'],1,1,['3'],8.41348201579,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['2'],1,0,['4'],5.88230641326,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['4'],1,0,['1'],4.99929025612,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['4'],1,0,['2'],6.83277531601,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['2'],1,1,['2'],4.18240499791,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['3'],1,1,['3'],7.0658580783,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['4'],1,1,['4'],4.7325955826,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['2'],1,0,['4'],5.06670854019,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,,,,,,,,,,['1'],1,1,['1'],4.96594296039,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,0,0,0,0,,,,,,['1'],1,0,['2'],22.784367091,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,0,-1,-1,0,,,,,0,0,0,0,0,0,0,0,,,,,,['3'],1,1,['3'],12.4795759916,2018_Apr_03_1647,59.9847669392,sequenceLearningTask,001,058,
