pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,anticipatoryResponse,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,3,0.0588180271516,0.574475251497,[ 0.73206442 -0.01041667],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0615938208848,0.422339108783,[-0.76427526 -0.078125  ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.0550067466638,0.446193868228,[ 0.26500732 -0.1328125 ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0621480770678,0.440592229501,[-0.18740849 -0.15625   ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0577312583664,0.459627298615,[ 0.79502196 -0.07552083],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.0580118736361,0.444691509871,[ 0.72913616 -0.0859375 ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0555798746345,0.461964118168,[-0.22693997 -0.07291667],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.054525926349,0.496488411697,[ 0.26061493 -0.140625  ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,4,0.0455117762003,0.487596928166,[ 0.70717423 -0.04166667],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0602506419482,0.424856441085,[-0.82284041 -0.22135417],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
