pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_7'],1,0.0531814730074,1,['num_7'],0,[16.3634498090874],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_1'],1,0.0770755974454,1,['num_1'],0,[0.9673666042667719],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_4'],1,0.0680717110912,0,"['num_7', 'num_4']",0,"[1.5770963153686353, 2.209888151932546]",,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_0'],1,0.0632142811721,1,['num_0'],0,[1.4977003105226459],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_0'],1,0.0588680301111,1,['num_0'],0,[0.7684019260693731],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_4'],1,0.0497804515522,1,['num_4'],0,[1.0255363788270415],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_1'],1,0.0572286475135,1,['num_1'],0,[1.2380021686126952],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_0'],1,0.0516376800356,1,['num_0'],0,[0.8098447468577774],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_7'],2,0.0553783933805,1,['num_7'],0,[1.8382976349157616],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_1'],2,0.0484889659623,1,['num_1'],0,[1.7629016251467533],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_4'],2,0.0497373746823,1,['num_4'],0,[1.1286591237015955],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_0'],2,0.0499708102923,1,['num_0'],0,[0.8277360068890403],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_0'],2,0.0528257811375,1,['num_0'],0,[0.773707355437125],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_4'],2,0.0525127558817,1,['num_4'],0,[1.7591104503255792],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_1'],2,0.0510834243075,1,['num_1'],0,[0.7603079873132401],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_0'],2,0.0600754132406,1,['num_0'],0,[0.46765029622525844],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_7'],3,0.0533217805271,1,['num_7'],0,[0.7724782287447738],,,,,,,,,2018_Apr_28_1224,59.9079078341,sequenceLearningTask,001,083,
