randomPaw,allowableKey,correctKey,blank,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,date,frameRate,expName,session,participant,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,18,1,73,1,,,,,,,,,,,,,1,['2'],0,[0.2869429588317871],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,18,2,74,2,,,,,,,,,,,,,1,['3'],0,[0.2525608539581299],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,18,3,75,0,,,,,,,,,,,,,1,['1'],0,[0.291748046875],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,19,0,76,1,,,,,,,,,,,,,1,['2'],0,[0.4237828254699707],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,19,1,77,3,,,,,,,,,,,,,1,['4'],0,[0.32618212699890137],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,19,2,78,2,,,,,,,,,,,,,1,['3'],0,[0.34069395065307617],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,19,3,79,0,,,,,,,,,,,,,1,['1'],0,[0.4098551273345947],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,20,0,80,3,,,,,,,,,,,,,1,['4'],0,[0.3278388977050781],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,20,1,81,2,,,,,,,,,,,,,1,['3'],0,[0.3946969509124756],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,20,2,82,0,,,,,,,,,,,,,1,['1'],0,[0.4120919704437256],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,20,3,83,1,,,,,,,,,,,,,1,['2'],0,[0.26232004165649414],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,21,0,84,1,,,,,,,,,,,,,1,['2'],0,[0.36159205436706543],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,21,1,85,3,,,,,,,,,,,,,1,['4'],0,[0.3457369804382324],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,21,2,86,2,,,,,,,,,,,,,1,['3'],0,[0.2785348892211914],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,21,3,87,0,,,,,,,,,,,,,1,['1'],0,[0.3627300262451172],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,22,0,88,2,,,,,,,,,,,,,1,['3'],0,[0.2634110450744629],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,22,1,89,1,,,,,,,,,,,,,1,['2'],0,[0.2631349563598633],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,22,2,90,0,,,,,,,,,,,,,1,['1'],0,[0.47901391983032227],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,22,3,91,3,,,,,,,,,,,,,0,"['3', '4']",0,"[0.2705118656158447, 0.4543178081512451]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,23,0,92,2,,,,,,,,,,,,,1,['3'],0,[0.43016791343688965],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,23,1,93,0,,,,,,,,,,,,,1,['1'],0,[0.3961927890777588],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,23,2,94,1,,,,,,,,,,,,,1,['2'],0,[0.23618316650390625],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,23,3,95,3,,,,,,,,,,,,,1,['4'],0,[0.36710405349731445],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,24,0,96,1,,,,,,,,,,,,,1,['2'],0,[0.5205001831054688],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,24,1,97,3,,,,,,,,,,,,,0,"['3', '4']",0,"[0.367218017578125, 0.7366609573364258]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,24,2,98,2,,,,,,,,,,,,,1,['3'],0,[0.27031493186950684],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,24,3,99,0,,,,,,,,,,,,,1,['1'],0,[0.35372114181518555],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,0,0,0,0,,,,,,,,,0,"['3', '4']",0,"[0.0003848075866699219, 0.36871886253356934]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,1,0,1,0,,,,,,,,,0,"['3', '4']",0,"[0.1778879165649414, 0.5112287998199463]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,2,0,2,0,,,,,,,,,1,['4'],0,[0.0003540515899658203],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,3,0,3,0,,,,,,,,,0,"['3', '4']",0,"[0.13629817962646484, 0.46976304054260254]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,4,0,4,0,,,,,,,,,1,['4'],0,[0.2867300510406494],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,5,0,5,0,,,,,,,,,1,['4'],0,[0.3604929447174072],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,6,0,6,0,,,,,,,,,1,['4'],0,[0.3203291893005371],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,7,0,7,0,,,,,,,,,1,['4'],0,[0.3856799602508545],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,8,0,8,0,,,,,,,,,0,"['3', '4']",0,"[0.00047397613525390625, 0.5043280124664307]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,9,0,9,0,,,,,,,,,1,['4'],0,[0.35196900367736816],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,0,0,0,0,,,,,1,['4'],0,[0.464385986328125],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,1,0,1,0,,,,,0,"['3', '4']",0,"[0.18680191040039062, 0.43665480613708496]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,2,0,2,0,,,,,1,['4'],0,[0.489332914352417],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,3,0,3,0,,,,,1,['4'],0,[0.3416600227355957],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,4,0,4,0,,,,,0,"['3', '4']",0,"[0.24520206451416016, 0.3623960018157959]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,5,0,5,0,,,,,0,"['3', '4']",0,"[0.18663311004638672, 0.43692922592163086]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,6,0,6,0,,,,,1,['4'],0,[0.0865180492401123],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,7,0,7,0,,,,,0,"['3', '4']",0,"[0.26929497718811035, 0.35316991806030273]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
