randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,date,frameRate,expName,session,participant,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,2,2,10,2,,,,,,,,,1,['3'],0,[0.253864049911499],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,2,3,11,3,,,,,,,,,1,['4'],0,[0.2672889232635498],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,3,0,12,1,,,,,,,,,1,['2'],0,[0.3360481262207031],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,3,1,13,0,,,,,,,,,1,['1'],0,[0.304340124130249],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,3,2,14,2,,,,,,,,,1,['3'],0,[0.2539031505584717],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,3,3,15,3,,,,,,,,,1,['4'],0,[0.31931591033935547],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,4,0,16,0,,,,,,,,,1,['1'],0,[0.43778300285339355],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,4,1,17,3,,,,,,,,,1,['4'],0,[0.3542659282684326],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,4,2,18,1,,,,,,,,,1,['2'],0,[0.32077598571777344],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,4,3,19,2,,,,,,,,,1,['3'],0,[0.3537871837615967],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
