randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,date,frameRate,expName,session,participant,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,13,1,53,3,,,,,,,,,1,['4'],0,[0.3512752056121826],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,13,2,54,2,,,,,,,,,1,['3'],0,[0.40332603454589844],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,13,3,55,0,,,,,,,,,1,['1'],0,[0.6208159923553467],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,14,0,56,3,,,,,,,,,1,['4'],0,[0.3870279788970947],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,14,1,57,2,,,,,,,,,1,['3'],0,[0.4371931552886963],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,14,2,58,0,,,,,,,,,1,['1'],0,[0.4549388885498047],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,14,3,59,1,,,,,,,,,0,"['3', '2']",0,"[0.40579700469970703, 0.8374221324920654]",,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,15,0,60,3,,,,,,,,,1,['4'],0,[0.43593287467956543],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,15,1,61,0,,,,,,,,,1,['1'],0,[0.5364789962768555],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,15,2,62,1,,,,,,,,,1,['2'],0,[0.4535040855407715],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,15,3,63,2,,,,,,,,,1,['3'],0,[0.40125107765197754],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,16,0,64,1,,,,,,,,,1,['2'],0,[0.5333998203277588],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,16,1,65,0,,,,,,,,,1,['1'],0,[0.38596415519714355],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,16,2,66,2,,,,,,,,,1,['3'],0,[0.5084559917449951],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,16,3,67,3,,,,,,,,,1,['4'],0,[0.42435789108276367],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,17,0,68,0,,,,,,,,,1,['1'],0,[0.4415559768676758],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,17,1,69,2,,,,,,,,,0,"['4', '3']",0,"[0.3437798023223877, 0.45874595642089844]",,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,17,2,70,1,,,,,,,,,1,['2'],0,[0.3939797878265381],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,17,3,71,3,,,,,,,,,1,['4'],0,[0.37806105613708496],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,18,0,72,0,,,,,,,,,1,['1'],0,[0.3620429039001465],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,18,1,73,2,,,,,,,,,1,['3'],0,[0.2624499797821045],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,18,2,74,3,,,,,,,,,1,['4'],0,[0.39607882499694824],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,18,3,75,1,,,,,,,,,1,['2'],0,[0.2631950378417969],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,19,0,76,0,,,,,,,,,1,['1'],0,[0.3190939426422119],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
