pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,anticipatoryResponse,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.75, -0.04)",images/min1.png,1,0.0734334359877,0.662320410367,[-0.0109375 -0.35     ],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,0.089371076785,0.58317538444,[-0.75        0.04722222],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,0.0810338461306,0.626184205059,[ 0.253125    0.08611111],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0746695385315,0.537951179547,[-0.19375     0.02777778],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0561579486821,0.656027076999,[ 0.765625    0.23055556],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,0.0663971283939,0.656593230786,[ 0.765625    0.03888889],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,0.0556652308442,0.571183589753,[-0.29375     0.00833333],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0556914871559,0.583722666604,[ 0.2203125   0.09444444],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(-0.75, -0.04)",images/min1.png,2,0.0589042049833,0.696467282018,[ 0.7625      0.04166667],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.25, -0.04)",images/min3.png,2,0.0557694358286,0.720331076998,[-0.7421875   0.01944444],,,,2018_Jun_17_1149,60.1028220881,sequenceLearningTask,001,136,
