pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.055226643919,2.39469276113,[-0.6953125 -0.175    ],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.0579470532248,0.872123539564,[ 0.284375   -0.02222222],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0598580266815,0.752697947668,[-0.2734375  -0.01944444],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.062878333265,0.679634592962,[ 0.7421875  -0.04444444],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.0547646954656,0.771034760633,[ 0.7828125  -0.12222222],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0615778209176,0.630643843906,[-0.3296875  -0.08611111],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0494974155445,0.69222125446,[ 0.2859375  -0.14722222],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,4,0.0551023363369,0.719783499604,[ 0.7578125  -0.13333333],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0647491016425,0.576398532838,[-0.7234375  -0.16388889],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,0.0582202838268,0.684652847354,[ 0.2609375  -0.13055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0683076643618,0.659131216817,[-0.2015625  -0.26388889],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0636992559303,0.645429889089,[ 0.7265625  -0.20277778],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,0.0551901311846,0.720193345449,[ 0.7546875  -0.12777778],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0497882872587,0.692866997793,[-0.3109375  -0.20833333],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0564619255019,0.666998290457,[ 0.234375   -0.26111111],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,5,0.053035875666,0.804264285485,[ 0.7484375  -0.23055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,0.05482992623,0.738290158566,[-0.775      -0.25833333],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,5,0.0548291057348,0.737747389707,[ 0.2234375  -0.18611111],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0563130024821,0.63825696893,[-0.2421875  -0.21111111],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0647733067162,0.678725875448,[ 0.7140625 -0.225    ],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,5,0.055624182336,0.718790679472,[ 0.7203125  -0.20833333],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,0.0569378228392,0.653472962673,[-0.253125   -0.21388889],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0564750537742,0.654291013605,[ 0.2        -0.18055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,6,0.0552869517123,0.752951075789,[ 0.7234375  -0.28611111],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,0.0486929031322,0.711452015792,[-0.8203125  -0.20277778],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.0574887969997,0.61870210513,[ 0.2171875  -0.19166667],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.056350335828,0.600286933244,[-0.2890625  -0.30833333],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0591610013507,0.650667630485,[ 0.696875   -0.10833333],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.0632249996997,0.729835598031,[ 0.7734375  -0.27222222],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,0.060348693165,0.665668239701,[-0.1796875  -0.25833333],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0573148482945,0.697933252086,[ 0.2328125  -0.36944444],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,7,0.0615142311435,0.834373811493,[ 0.7265625  -0.34722222],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,7,0.053000593558,0.691726075136,[-0.7078125  -0.28611111],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
