pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_4'],3,0.0235257532422,1,['num_4'],0,[1.620738305944542],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0235967276294,1,['num_0'],0,[0.5872498819499015],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0234978557928,1,['num_0'],0,[0.5206480084707437],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_4'],3,0.0230974453734,1,['num_4'],0,[1.154280678680152],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_1'],3,0.0230346761164,1,['num_1'],0,[1.137733800096612],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0241944714635,1,['num_0'],0,[0.7202841929374699],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_7'],4,0.0235700609519,1,['num_7'],0,[1.1866097175843606],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_1'],4,0.0240812406482,1,['num_1'],0,[1.1035052732331678],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_4'],4,0.0228878042599,0,"['num_1', 'num_1', 'num_4']",0,"[1.4715300396019302, 1.754879899437583, 2.1214158446819056]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_0'],4,0.070106695428,0,"['num_4', 'num_0', 'num_0']",0,"[0.4584859316873917, 1.0897776778583648]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
