pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,responseTimeIncorrect,trialIncorrect,stimulusPresent.t,responseTimeCorrect,pressLoc,anticipatoryResponse,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,3,,,0.0534781538881,0.623876102734,[ 0.7140625  -0.02222222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,,,0.0605587691534,0.53227856406,[-0.7390625   0.00277778],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,,,0.0600832819473,0.599470769288,[ 0.3328125  -0.14722222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,,,0.0602892306633,0.530329025583,[-0.2140625  -0.06111111],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,,,0.0537234873045,0.57180882059,[ 0.8078125  -0.01944444],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,,,0.0593924103305,0.578043076908,[ 0.7765625  -0.13333333],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,,,0.0630863590632,0.49600902549,[-0.2671875  -0.11944444],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,,,0.060318358941,0.527669333387,[ 0.278125   -0.08055556],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,4,,,0.0580340512097,0.66855384619,[ 0.7078125  -0.15833333],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,,,0.0578145640902,0.552573538385,[-0.7484375 -0.15     ],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,,,0.0605509744491,0.599235692294,[ 0.2546875  -0.21111111],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,,,0.0569275899325,0.50039425632,[-0.2140625  -0.09166667],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,,,0.0528406153899,0.622468512738,[ 0.728125   -0.25833333],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,,,0.0525641024578,0.522637538612,[ 0.7140625  -0.09166667],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,,,0.0547318975441,0.486674051266,[-0.2484375 -0.2      ],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,,,0.0593657437712,0.46593312826,[ 0.2578125  -0.28888889],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,5,,,0.0589275897946,0.781385025708,[ 0.728125   -0.19722222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,,,0.0559507692233,0.52009394858,[-0.7109375  -0.19444444],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,5,0.246947281994,1,0.0600890256464,0.853343999945,[ 0.275      -0.20833333],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,,,0.0545915898401,0.504933333257,[-0.196875   -0.12222222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,,,0.0544717949815,0.587195076747,[ 0.6734375  -0.30833333],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,5,,,0.059518358903,0.587020718027,[ 0.715625   -0.25555556],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,,,0.0668869742658,0.660384410061,[-0.23125    -0.19166667],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,,,0.0568209229968,0.535838359036,[ 0.303125   -0.13333333],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,6,,,0.0607614358887,0.590692102443,[ 0.7421875  -0.15277778],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,,,0.0655035898089,0.476514871698,[-0.7375      0.04444444],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,,,0.0646100514568,0.797094974434,[ 0.2703125  -0.04444444],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,,,0.0648205128964,0.568978051422,[-0.1578125  -0.06666667],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
