pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_7'],1,0.0684718229604,1,['num_7'],0,[0.6604187324774102],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_1'],1,0.0619618715755,0,"['num_4', 'num_1']",0,"[0.5659206424279546, 4.633195336697099]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_4'],1,0.0572242286034,1,['num_4'],0,[2.6039772734293365],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_0'],1,0.0521288419004,1,['num_0'],0,[1.243155381805991],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_0'],1,0.0566556129852,1,['num_0'],0,[4.454342750497744],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_4'],1,0.0598773579004,1,['num_4'],0,[2.251150872267317],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_1'],1,0.0585747932637,1,['num_1'],0,[1.404433806947054],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_0'],1,0.0608197172587,1,['num_0'],0,[1.6495768818749639],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_7'],2,0.0603713068194,1,['num_7'],0,[0.9489669534195855],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_1'],2,0.0619733587591,1,['num_1'],0,[1.9158986321635894],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_4'],2,0.0551413559551,0,"['num_4', 'num_4', 'num_1', 'num_7', 'num_4', 'num_1', 'num_4', 'num_1', 'num_4', 'num_1', 'num_4', 'num_1', 'num_4']",0,"[0.000419282223447226, 2.4898381496750517, 2.523351599320449, 3.6896400777986855, 4.690077821567684, 5.323408542935795, 6.156942833615176, 6.5900178830816]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_0'],2,0.0503101744871,0,"['num_4', 'num_0']",0,"[0.0004910771240247414, 1.1609018096023647]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_0'],2,0.0582724341621,1,['num_0'],0,[0.8200639261813194],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_4'],2,0.0561464845741,1,['num_4'],0,[2.2210035778480233],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_1'],2,0.0488262764411,0,"['num_7', 'num_1', 'num_0', 'num_7', 'num_0', 'num_4', 'num_0', 'num_1']",0,"[0.0003265642371843569, 1.4130442720197607, 2.36088671215839, 3.246224921527755, 4.246972409015143]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_0'],2,0.052729047271,1,['num_0'],0,[2.8419240377152164],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_7'],3,0.0529764319872,0,"['num_0', 'num_7']",0,"[0.2732247274798283, 0.3399143958631612]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_1'],3,0.0529694576289,0,"['num_4', 'num_7', 'num_1']",0,"[0.9412217194767436, 0.974672399868723, 0.991405534936348]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_4'],3,0.0568837156461,0,"['num_7', 'num_0', 'num_7', 'num_1', 'num_7', 'num_4', 'num_1', 'num_0', 'num_7', 'num_4', 'num_0', 'num_1', 'num_4']",0,"[0.1198137927458447, 0.586816651000845, 0.6374135948353796, 0.6875650000292808, 1.4574758799899428, 2.520425649407116, 2.6204613827540015, 2.636954517725826, 3.5706989007994707]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_0'],3,0.0576472031389,0,"['num_7', 'num_1', 'num_0', 'num_7', 'num_4', 'num_1', 'num_0']",0,"[0.0004000001645181328, 0.7707818546805356, 0.8207982854546572, 1.1205461007375561, 1.4539612118824152]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_0'],3,0.0607667941622,1,['num_0'],0,[0.5820072131318739],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_4'],3,0.0483208403384,0,"['num_7', 'num_4', 'num_0', 'num_7', 'num_0', 'num_7', 'num_7', 'num_4']",0,"[0.0003175385900249239, 0.4970020500550163, 0.6634386311561684, 1.5476851477687887, 1.5800010584644042, 2.2296066583003267, 2.946580490905035]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_1'],3,0.0454465827461,0,"['num_7', 'num_1']",0,"[0.00041558991142665036, 0.6650427343738556]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_0'],3,0.0534256629435,1,['num_0'],0,[1.307537767195754],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_7'],4,0.0551959200784,1,['num_7'],0,[3.0702675160064246],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_1'],4,0.0521649444781,1,['num_1'],0,[2.375843436246214],2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_4'],4,0.0593583833252,0,"['num_4', 'num_4']",0,"[0.0003085129465034697, 2.3364423944367445]",2018_Apr_03_1637,59.9959879595,sequenceLearningTask,001,058,
