randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,17,1,69,0,,,,,,,,,0,"['4', '1']",0,"[0.16852617263793945, 0.43570613861083984]",2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,17,2,70,2,,,,,,,,,0,"['4', '3']",0,"[0.2862229347229004, 0.5202240943908691]",2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,17,3,71,3,,,,,,,,,1,['4'],0,[0.3478419780731201],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,18,0,72,3,,,,,,,,,1,['4'],0,[0.3022141456604004],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,18,1,73,1,,,,,,,,,1,['2'],0,[0.26989006996154785],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,18,2,74,0,,,,,,,,,1,['1'],0,[0.2751491069793701],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,18,3,75,2,,,,,,,,,1,['3'],0,[0.25597095489501953],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,19,0,76,3,,,,,,,,,1,['4'],0,[0.40230894088745117],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,19,1,77,0,,,,,,,,,1,['1'],0,[0.38604283332824707],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,19,2,78,2,,,,,,,,,1,['3'],0,[0.2370600700378418],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,19,3,79,1,,,,,,,,,1,['2'],0,[0.2695589065551758],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,20,0,80,0,,,,,,,,,1,['1'],0,[0.4038360118865967],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,20,1,81,1,,,,,,,,,1,['2'],0,[0.4014859199523926],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,20,2,82,3,,,,,,,,,1,['4'],0,[0.4361100196838379],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,20,3,83,2,,,,,,,,,0,"['4', '3']",0,"[0.3196899890899658, 0.6694550514221191]",2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,21,0,84,3,,,,,,,,,1,['4'],0,[0.3754568099975586],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,21,1,85,0,,,,,,,,,1,['1'],0,[0.3517799377441406],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,21,2,86,2,,,,,,,,,1,['3'],0,[0.28586506843566895],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,21,3,87,1,,,,,,,,,1,['2'],0,[0.28734397888183594],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,22,0,88,1,,,,,,,,,1,['2'],0,[0.43627405166625977],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,22,1,89,2,,,,,,,,,1,['3'],0,[0.41937804222106934],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,22,2,90,0,,,,,,,,,1,['1'],0,[0.26900601387023926],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,22,3,91,3,,,,,,,,,1,['4'],0,[0.3188900947570801],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,23,0,92,1,,,,,,,,,1,['2'],0,[0.336331844329834],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,23,1,93,2,,,,,,,,,1,['3'],0,[0.3198668956756592],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,23,2,94,0,,,,,,,,,1,['1'],0,[0.41948795318603516],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,23,3,95,3,,,,,,,,,1,['4'],0,[0.27013397216796875],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,24,0,96,0,,,,,,,,,1,['1'],0,[0.4363720417022705],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,24,1,97,2,,,,,,,,,1,['3'],0,[0.28545498847961426],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,24,2,98,1,,,,,,,,,1,['2'],0,[0.2328648567199707],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,24,3,99,3,,,,,,,,,1,['4'],0,[0.21895909309387207],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
