pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,correctLocation,correctImage,repetitionNumber,responseTimeIncorrect,trialIncorrect,stimulusPresent.t,responseTimeCorrect,pressLoc,anticipatoryResponse,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.75, -0.04)",images/min1.png,1,0.00213210168295,1,0.0585575144505,1.17955397762,[ 0.75625     0.01944444],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,,,0.0533353627252,0.808178540232,[-0.709375 -0.1     ],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,,,0.0571605919395,0.804027977836,[ 0.1921875 -0.025    ],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,,,0.0578481813718,0.696109252895,[-0.2984375  -0.15555556],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,,,0.0561000795569,0.80269177325,[ 0.7953125   0.00277778],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,,,0.0567142331274,0.854650316032,[ 0.659375   -0.17222222],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,,,0.0654805884988,0.588791553339,[-0.284375   -0.18055556],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,,,0.0638916660973,0.606426828133,[ 0.3        -0.14722222],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(-0.75, -0.04)",images/min1.png,2,,,0.0576602840447,0.833974221954,[ 0.71875    -0.01944444],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.25, -0.04)",images/min3.png,2,,,0.0562846948451,0.872363949806,[-0.853125   -0.04166667],,2018_Jun_25_1255,59.7587829975,sequenceLearningTask,001,117,
