pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,anticipatoryResponse,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,3,0.0659171011648,0.726941650471,[ 0.7265625 -0.075    ],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0534941319202,0.692162177584,[-0.6265625  -0.10833333],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.0593677705328,0.66687808538,[ 0.2828125 -0.025    ],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0616061285546,0.63102127958,[-0.265625   -0.24444444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0541501316475,0.516488403518,[ 0.7328125  -0.13055556],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,3,0.0556516694778,0.689211204415,[ 0.7125     -0.04444444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0553382337093,0.589020886575,[-0.225      -0.16388889],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,3,0.0594945396879,0.616215542075,[ 0.2703125  -0.16666667],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,4,0.0595634627389,0.550475671596,[ 0.703125   -0.11388889],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0595642832632,0.553532080608,[-0.7234375 -0.075    ],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,0.064488178672,0.697713765054,[ 0.290625   -0.04444444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0583466427343,0.449388533569,[-0.3234375 -0.275    ],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.070625201799,0.234403185867,[ 0.7765625  -0.13055556],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,0.0530633628368,0.580152787647,[ 0.7671875  -0.16388889],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0531741320447,0.35014385634,[-0.2140625 -0.05     ],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0541669521481,0.374085590127,[ 0.2328125  -0.14722222],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,5,0.0516237737029,0.138459840615,[ 0.728125   -0.04166667],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,0.057942130079,0.617695336317,[-0.678125   -0.15833333],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,5,0.0244922976417,0.885640252061,[ 0.3171875  -0.20277778],0.466536834254,1,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0638715635287,0.244634566305,[-0.184375   -0.16944444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0582436684344,0.233836211759,[ 0.8515625 -0.125    ],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,5,0.0648180246935,0.562051871995,[ 0.80625    -0.25833333],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,0.0644496145833,0.295022237959,[-0.1796875  -0.18611111],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0666055111215,0.341804167459,[ 0.3203125  -0.03333333],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,6,0.0646662298823,0.352706316859,[ 0.7578125  -0.06111111],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,0.0561037718726,0.599655959115,[-0.7078125  -0.06388889],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.0586522836238,0.563907050702,[ 0.1703125  -0.13611111],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0533726960421,0.340350629616,[-0.1390625  -0.17222222],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0598810010706,0.425362697308,[ 0.746875   -0.03055556],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.060842231469,0.563677717466,[ 0.7078125  -0.25277778],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,0.0644988453423,0.487579287146,[-0.3515625  -0.21944444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0557177207374,0.472186883184,[ 0.178125    0.00833333],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,7,0.0552291055501,0.733691186178,[ 0.7125     -0.06944444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,7,0.0618522823206,0.445142791723,[-0.628125   -0.10833333],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,7,0.0563593615079,0.637525482045,[ 0.2109375   0.08055556],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.061631974706,0.330780582241,[-0.20625    -0.25277778],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.0560746436531,0.335207657336,[ 0.8125     -0.06388889],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,7,0.0560369000887,0.568938843498,[ 0.7265625   0.00277778],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,7,0.0498933128547,0.509508303803,[-0.203125   -0.01666667],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.0531076705083,0.339345912071,[ 0.2953125  -0.01944444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,8,0.0551839773543,0.41872064874,[ 0.7046875  -0.19444444],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,8,0.0586407964583,0.500942153449,[-0.7484375  -0.20833333],,,,,,,,,,,,,2018_Jun_24_1716,59.737986241,sequenceLearningTask,001,143,
