pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_4'],3,0.0565915897023,0,"['num_4', 'num_1', 'num_4']",0,"[0.8543749745003879, 1.3705948719289154]",,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0593665642664,1,['num_0'],0,[0.5849505641963333],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0568931282032,1,['num_0'],0,[0.6876008205581456],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_4'],3,0.0361202049535,1,['num_4'],0,[1.026278974255547],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_1'],3,0.054047589656,1,['num_1'],0,[0.6570802051573992],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0530264615081,1,['num_0'],0,[0.49116143584251404],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_7'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_7'],4,0.050121025648,1,['num_7'],0,[0.9262494358699769],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_1'],4,0.0528160000686,1,['num_1'],0,[0.9251528205350041],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_4'],4,0.0598256411031,1,['num_4'],0,[0.966839384753257],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_0'],4,0.0507614358794,1,['num_0'],0,[0.6770990767981857],,,,,,,,2018_Jun_10_1212,60.0197972651,sequenceLearningTask,001,110,
